"anketa_id","student_id","game_mode","zabava","motivacija","ponovio_bi","najvise_svidjelo","created_at"
"1","2","mode1","3","6","false","false","2025-05-12 21:20:15.984082"
"2","2","mode2","2","5","true","true","2025-05-12 21:20:16.100241"
"3","2","mode3","2","6","true","false","2025-05-12 21:20:16.199886"
"4","2",,,,,,"2025-05-12 21:20:16.292031"
"5","2","mode1","3","8","false","false","2025-05-13 15:50:11.735781"
"6","2","mode2","3","6","true","true","2025-05-13 15:50:11.807763"
"7","2","mode3","2","6","true","false","2025-05-13 15:50:11.890245"
"8","2",,,,,,"2025-05-13 15:50:11.961021"
"9","10","mode1","3","6","false","false","2025-05-13 19:07:46.478669"
"10","10","mode2","2","6","true","true","2025-05-13 19:07:46.548542"
"11","10","mode3","2","7","false","false","2025-05-13 19:07:46.624619"
"12","10",,,,,,"2025-05-13 19:07:46.780226"
"13","21","mode1","3","4","false","false","2025-05-28 20:44:41.178219"
"14","21","mode2","3","10","false","true","2025-05-28 20:44:41.287024"
"15","21","mode3","3","3","false","false","2025-05-28 20:44:41.367635"
"16","21",,,,,,"2025-05-28 20:44:41.431522"
"17","40","mode1","3","10","true","true","2025-06-04 08:31:35.926338"
"18","40","mode2","3","10","true","false","2025-06-04 08:31:36.070303"
"19","40","mode3","3","10","true","false","2025-06-04 08:31:36.178395"
"20","40",,,,,,"2025-06-04 08:31:36.280953"
"21","40","mode1","3","8","true","false","2025-06-04 08:31:55.520555"
"22","40","mode2","3","6","true","true","2025-06-04 08:31:55.645208"
"23","40","mode3","3","9","true","false","2025-06-04 08:31:55.782812"
"24","40",,,,,,"2025-06-04 08:31:55.915086"
"25","42","mode1","3","10","true","false","2025-06-04 08:32:00.670487"
"26","42","mode2","3","10","true","true","2025-06-04 08:32:00.804252"
"27","42","mode3","3","10","true","false","2025-06-04 08:32:00.943361"
"28","42",,,,,,"2025-06-04 08:32:01.088167"
"29","36","mode1","2","5","true","false","2025-06-04 08:32:13.328381"
"30","36","mode2","2","7","true","false","2025-06-04 08:32:13.457221"
"31","36","mode3","2","10","true","true","2025-06-04 08:32:13.95524"
"32","36",,,,,,"2025-06-04 08:32:14.276589"
"33","36","mode1","2","5","true","false","2025-06-04 08:32:14.308798"
"34","36","mode2","2","7","true","false","2025-06-04 08:32:14.495888"
"35","36","mode3","2","10","true","true","2025-06-04 08:32:15.253789"
"36","36",,,,,,"2025-06-04 08:32:15.384987"
"37","43","mode1","2","10","true","false","2025-06-04 08:32:18.212981"
"38","43","mode2","2","6","true","false","2025-06-04 08:32:18.352368"
"39","43","mode3","3","8","true","true","2025-06-04 08:32:18.52566"
"40","43",,,,,,"2025-06-04 08:32:18.654206"
"41","41","mode1","3","10","true","false","2025-06-04 08:32:19.607256"
"42","41","mode2","2","5","false","false","2025-06-04 08:32:19.732926"
"43","41","mode3","3","10","true","true","2025-06-04 08:32:19.823091"
"44","41",,,,,,"2025-06-04 08:32:19.937926"
"45","48","mode1","3","10","true","true","2025-06-04 08:32:21.143281"
"46","48","mode2","3","10","true","false","2025-06-04 08:32:21.261971"
"47","48","mode3","3","10","true","false","2025-06-04 08:32:21.37728"
"48","48",,,,,,"2025-06-04 08:32:21.486766"
"49","46","mode1","3","10","true","true","2025-06-04 08:32:33.913492"
"50","46","mode2","3","10","true","false","2025-06-04 08:32:34.047771"
"51","46","mode3","3","10","true","false","2025-06-04 08:32:34.158409"
"52","46",,,,,,"2025-06-04 08:32:34.262425"
"53","50","mode1","3","10","true","false","2025-06-04 08:32:39.624476"
"54","50","mode2","3","6","true","false","2025-06-04 08:32:39.748532"
"55","50","mode3","3","10","true","true","2025-06-04 08:32:39.87187"
"56","50",,,,,,"2025-06-04 08:32:40.026661"
"57","47","mode1","3","10","true","false","2025-06-04 08:32:42.82994"
"58","47","mode2","3","10","true","false","2025-06-04 08:32:42.991783"
"59","47","mode3","3","10","true","true","2025-06-04 08:32:43.099157"
"60","47",,,,,,"2025-06-04 08:32:43.247873"
"61","30","mode1","3","10","true","false","2025-06-04 08:32:55.749556"
"62","30","mode2","3","10","true","true","2025-06-04 08:32:55.860341"
"63","30","mode3","3","10","true","false","2025-06-04 08:32:55.997912"
"64","30",,,,,,"2025-06-04 08:32:56.116482"
"65","38","mode1","3","5","true","false","2025-06-04 08:32:58.00574"
"66","38","mode2","3","4","true","true","2025-06-04 08:32:58.099533"
"67","38","mode3","3","5","true","false","2025-06-04 08:32:58.266931"
"68","38",,,,,,"2025-06-04 08:32:58.377274"
"69","47","mode1","3","10","true","false","2025-06-04 08:33:05.902202"
"70","47","mode2","3","10","true","false","2025-06-04 08:33:05.996023"
"71","47","mode3","3","10","true","true","2025-06-04 08:33:06.102121"
"72","47",,,,,,"2025-06-04 08:33:06.206161"
"73","37","mode1","2","10","true","false","2025-06-04 08:33:24.706395"
"74","37","mode2","2","9","true","false","2025-06-04 08:33:24.829605"
"75","37","mode3","2","7","true","true","2025-06-04 08:33:24.937753"
"76","37",,,,,,"2025-06-04 08:33:25.155547"
"77","39","mode1","3","10","true","false","2025-06-04 08:33:44.088618"
"78","39","mode2","3","10","true","true","2025-06-04 08:33:44.199162"
"79","39","mode3","1","6","false","false","2025-06-04 08:33:44.293695"
"80","39",,,,,,"2025-06-04 08:33:44.426446"
"81","45","mode1","3","10","true","false","2025-06-04 08:34:30.434114"
"82","45","mode2","2","6","true","false","2025-06-04 08:34:30.533823"
"83","45","mode3","2","8","true","true","2025-06-04 08:34:30.645911"
"84","45",,,,,,"2025-06-04 08:34:30.7897"
"85","49","mode1","3","10","true","false","2025-06-04 08:35:16.990197"
"86","49","mode2","3","10","true","false","2025-06-04 08:35:17.097378"
"87","49","mode3","3","10","true","true","2025-06-04 08:35:17.204635"
"88","49",,,,,,"2025-06-04 08:35:17.308109"
