"anketa_id","student_id","game_mode","zabava","motivacija","ponovio_bi","najvise_svidjelo","created_at"
"61","30","mode1","3","10","true","false","2025-06-04 08:32:55.749556"
"63","30","mode3","3","10","true","false","2025-06-04 08:32:55.997912"
"62","30","mode2","3","10","true","true","2025-06-04 08:32:55.860341"
"33","36","mode1","2","5","true","false","2025-06-04 08:32:14.308798"
"34","36","mode2","2","7","true","false","2025-06-04 08:32:14.495888"
"35","36","mode3","2","10","true","true","2025-06-04 08:32:15.253789"
"75","37","mode3","2","7","true","true","2025-06-04 08:33:24.937753"
"73","37","mode1","2","10","true","false","2025-06-04 08:33:24.706395"
"74","37","mode2","2","9","true","false","2025-06-04 08:33:24.829605"
"65","38","mode1","3","5","true","false","2025-06-04 08:32:58.00574"
"66","38","mode2","3","4","true","true","2025-06-04 08:32:58.099533"
"67","38","mode3","3","5","true","false","2025-06-04 08:32:58.266931"
"79","39","mode3","1","6","false","false","2025-06-04 08:33:44.293695"
"77","39","mode1","3","10","true","false","2025-06-04 08:33:44.088618"
"78","39","mode2","3","10","true","true","2025-06-04 08:33:44.199162"
"23","40","mode3","3","9","true","false","2025-06-04 08:31:55.782812"
"21","40","mode1","3","8","true","false","2025-06-04 08:31:55.520555"
"22","40","mode2","3","6","true","true","2025-06-04 08:31:55.645208"
"42","41","mode2","2","5","false","false","2025-06-04 08:32:19.732926"
"41","41","mode1","3","10","true","false","2025-06-04 08:32:19.607256"
"43","41","mode3","3","10","true","true","2025-06-04 08:32:19.823091"
"27","42","mode3","3","10","true","false","2025-06-04 08:32:00.943361"
"26","42","mode2","3","10","true","true","2025-06-04 08:32:00.804252"
"25","42","mode1","3","10","true","false","2025-06-04 08:32:00.670487"
"38","43","mode2","2","6","true","false","2025-06-04 08:32:18.352368"
"37","43","mode1","2","10","true","false","2025-06-04 08:32:18.212981"
"39","43","mode3","3","8","true","true","2025-06-04 08:32:18.52566"
"81","45","mode1","3","10","true","false","2025-06-04 08:34:30.434114"
"82","45","mode2","2","6","true","false","2025-06-04 08:34:30.533823"
"83","45","mode3","2","8","true","true","2025-06-04 08:34:30.645911"
"51","46","mode3","3","10","true","false","2025-06-04 08:32:34.158409"
"49","46","mode1","3","10","true","true","2025-06-04 08:32:33.913492"
"50","46","mode2","3","10","true","false","2025-06-04 08:32:34.047771"
"57","47","mode1","3","10","true","false","2025-06-04 08:32:42.82994"
"59","47","mode3","3","10","true","true","2025-06-04 08:32:43.099157"
"58","47","mode2","3","10","true","false","2025-06-04 08:32:42.991783"
"47","48","mode3","3","10","true","false","2025-06-04 08:32:21.37728"
"46","48","mode2","3","10","true","false","2025-06-04 08:32:21.261971"
"45","48","mode1","3","10","true","true","2025-06-04 08:32:21.143281"
"85","49","mode1","3","10","true","false","2025-06-04 08:35:16.990197"
"86","49","mode2","3","10","true","false","2025-06-04 08:35:17.097378"
"87","49","mode3","3","10","true","true","2025-06-04 08:35:17.204635"
"54","50","mode2","3","6","true","false","2025-06-04 08:32:39.748532"
"53","50","mode1","3","10","true","false","2025-06-04 08:32:39.624476"
"55","50","mode3","3","10","true","true","2025-06-04 08:32:39.87187"
