session_id,time_taken,student_id,topic_id,game_mode,opponent_id,created_at,correct_answers,wrong_answers,total_questions,winner,points
477,120,30,9,pvp,37,08:17:11,35,55,61,t,5
478,108,37,9,pvp,30,08:17:11,25,23,61,f,0
456,120,43,9,pvp,47,08:14:50,32,31,55,t,5
457,104,47,9,pvp,43,08:14:50,22,28,55,f,0
493,120,48,8,pvp,50,08:19:56,23,48,49,t,5
461,75,30,9,pvp,37,08:15:47,28,31,47,t,7
462,75,37,9,pvp,30,08:15:47,18,12,47,f,0
481,120,43,9,pvp,47,08:17:23,19,42,44,t,5
483,120,47,9,pvp,43,08:17:24,24,34,44,t,5
490,120,40,8,pvp,42,08:18:34,22,30,44,t,5
517,120,47,8,pvp,43,08:22:17,21,20,44,f,0
516,120,43,8,pvp,47,08:22:17,22,19,44,t,5
528,120,40,8,pvp,49,08:23:20,22,29,43,t,5
529,120,49,8,pvp,40,08:23:20,20,19,43,f,0
588,120,41,8,pvp,2,08:28:27,20,25,42,f,0
589,120,2,8,pvp,41,08:28:27,21,5,42,t,5
488,88,50,8,pvp,48,08:17:47,24,39,39,t,7
487,120,48,8,pvp,50,08:17:47,14,32,39,t,5
505,120,45,8,pvp,2,08:20:46,17,16,39,f,0
506,120,2,8,pvp,45,08:20:46,21,7,39,t,5
533,120,36,8,pvp,37,08:23:35,16,34,38,t,5
540,120,43,8,pvp,47,08:24:39,23,16,38,t,5
541,120,47,8,pvp,43,08:24:39,14,10,38,f,0
571,68,49,9,pvp,38,08:26:55,13,35,37,f,0
570,120,38,9,pvp,49,08:26:55,23,30,37,t,5
469,120,38,8,pvp,36,08:16:38,16,18,37,f,0
470,120,36,8,pvp,38,08:16:38,20,15,37,t,5
538,77,50,8,pvp,48,08:24:01,21,52,33,t,7
513,52,49,9,pvp,37,08:21:20,21,28,33,t,7
512,52,37,9,pvp,49,08:21:20,11,27,33,f,0
537,120,48,8,pvp,50,08:24:01,11,26,33,t,5
577,86,43,8,pvp,47,08:27:26,20,20,31,t,7
578,86,47,8,pvp,43,08:27:26,10,6,31,f,0
526,120,45,8,pvp,2,08:22:59,15,16,30,t,5
527,120,2,8,pvp,45,08:22:59,14,3,30,f,0
552,120,41,8,pvp,2,08:25:46,18,16,28,t,5
473,120,40,8,pvp,42,08:17:00,13,13,28,t,5
553,120,2,8,pvp,41,08:25:46,9,4,28,f,0
410,82,46,8,computer,computer,08:09:48,18,27,27,t,5
484,84,46,9,pvp,49,08:17:30,8,19,27,f,0
600,76,43,8,pvp,47,08:29:13,18,18,27,t,7
446,109,36,8,computer,computer,08:13:03,18,14,27,t,5
485,84,49,9,pvp,46,08:17:30,18,11,27,t,7
436,106,41,9,computer,computer,08:12:16,18,9,27,t,5
601,76,47,8,pvp,43,08:29:13,8,9,27,f,0
445,86,49,9,computer,computer,08:12:59,18,7,27,t,5
531,120,41,8,pvp,2,08:23:30,15,16,26,t,5
532,120,2,8,pvp,41,08:23:31,10,1,26,f,0
581,117,45,8,pvp,39,08:27:57,17,21,25,t,7
582,117,39,8,pvp,45,08:27:57,7,3,25,f,0
509,120,40,8,pvp,42,08:21:17,11,12,24,t,5
459,40,42,9,pvp,40,08:15:09,16,22,23,t,7
458,120,40,9,pvp,42,08:15:09,6,19,23,t,5
424,100,43,8,computer,computer,08:11:05,16,5,23,t,5
498,35,30,9,pvp,37,08:20:08,15,29,21,t,7
432,36,42,9,computer,computer,08:12:09,15,23,21,t,5
435,42,46,9,computer,computer,08:12:14,15,24,21,t,5
497,35,37,9,pvp,30,08:20:08,5,18,21,f,0
549,101,45,8,pvp,39,08:25:33,15,16,21,t,7
550,101,39,8,pvp,45,08:25:33,5,2,21,f,0
397,109,43,8,computer,computer,08:08:31,15,1,21,t,5
522,120,48,8,pvp,50,08:22:37,7,30,20,t,5
437,28,38,9,computer,computer,08:12:24,14,26,19,t,5
404,25,40,8,computer,computer,08:09:05,14,21,19,t,5
507,120,49,9,pvp,46,08:21:12,7,19,19,t,5
417,96,36,9,computer,computer,08:10:29,14,15,19,t,5
420,44,42,8,computer,computer,08:10:46,14,15,19,t,5
492,31,45,8,computer,computer,08:18:58,14,14,19,t,5
415,60,45,8,computer,computer,08:10:08,14,12,19,t,5
403,75,30,8,computer,computer,08:09:04,14,10,19,t,5
407,113,38,9,computer,computer,08:09:28,14,10,19,t,5
545,28,49,9,computer,computer,08:25:21,13,29,17,t,5
440,37,40,9,computer,computer,08:12:46,13,24,17,t,5
426,57,47,8,computer,computer,08:11:30,13,21,17,t,5
558,28,30,9,pvp,38,08:26:05,3,21,17,f,0
557,120,38,9,pvp,30,08:26:05,13,20,17,t,5
604,30,30,8,computer,computer,08:29:21,13,16,17,t,5
504,44,36,9,pvp,38,08:20:37,13,14,17,t,7
495,120,43,9,pvp,47,08:20:07,7,12,17,t,5
453,117,48,8,computer,computer,08:13:48,13,5,17,t,5
402,120,50,8,computer,computer,08:08:53,10,4,17,t,3
406,65,42,8,computer,computer,08:09:19,13,4,17,t,5
503,44,38,9,pvp,36,08:20:37,3,4,17,f,0
400,77,36,8,computer,computer,08:08:46,13,1,17,t,5
539,20,49,9,computer,computer,08:24:38,12,30,15,t,5
418,20,37,9,computer,computer,08:10:42,12,23,15,t,5
448,44,43,9,computer,computer,08:13:04,12,19,15,t,5
450,43,50,8,computer,computer,08:13:23,12,19,15,t,5
525,20,49,8,computer,computer,08:22:39,12,18,15,t,5
392,62,37,8,computer,computer,08:07:56,12,16,15,t,5
409,68,47,8,computer,computer,08:09:41,12,12,15,t,5
395,25,40,8,computer,computer,08:08:19,12,10,15,t,5
414,10,40,9,computer,computer,08:09:57,12,9,15,t,5
542,19,49,9,computer,computer,08:25:02,11,21,13,t,5
421,10,40,9,computer,computer,08:10:50,11,19,13,t,5
441,39,42,9,computer,computer,08:12:47,11,19,13,t,5
556,22,42,9,computer,computer,08:26:01,11,19,13,t,5
434,20,45,9,computer,computer,08:12:11,11,18,13,t,5
444,22,37,9,computer,computer,08:12:58,11,18,13,t,5
430,98,48,8,computer,computer,08:11:58,11,11,13,t,5
413,33,37,8,computer,computer,08:09:53,11,10,13,t,5
425,120,39,8,computer,computer,08:11:13,9,0,12,t,3
530,15,49,8,computer,computer,08:23:25,10,32,11,t,5
452,13,47,9,computer,computer,08:13:47,10,26,11,t,5
520,7,38,9,computer,computer,08:22:30,10,28,11,t,5
447,13,30,9,computer,computer,08:13:03,10,24,11,t,5
427,11,42,8,computer,computer,08:11:31,10,23,11,t,5
523,8,38,9,computer,computer,08:22:37,10,23,11,t,5
431,27,40,9,computer,computer,08:12:04,10,21,11,t,5
449,18,50,8,computer,computer,08:13:04,10,22,11,t,5
460,12,45,9,computer,computer,08:15:10,10,21,11,t,5
501,11,47,9,computer,computer,08:20:31,10,21,11,t,5
423,12,37,9,computer,computer,08:11:02,10,20,11,t,5
439,13,37,9,computer,computer,08:12:44,10,20,11,t,5
535,8,49,8,computer,computer,08:23:44,10,20,11,t,5
411,7,40,9,computer,computer,08:09:50,10,19,11,t,5
595,9,38,9,computer,computer,08:28:51,10,19,11,t,5
466,12,45,9,computer,computer,08:16:10,10,18,11,t,5
515,10,47,9,computer,computer,08:21:36,10,14,11,t,5
610,4,38,9,computer,computer,08:30:11,10,14,11,t,5
471,6,45,8,computer,computer,08:16:43,10,13,11,t,5
521,120,42,9,computer,computer,08:22:31,7,14,11,t,3
551,12,48,8,computer,computer,08:25:40,10,14,11,t,5
408,13,37,8,computer,computer,08:09:33,10,12,11,t,5
559,15,48,8,computer,computer,08:26:06,10,12,11,t,5
593,22,50,8,practice,,08:28:51,10,26,10,t,2
329,64,46,9,practice,,08:02:31,10,25,10,t,2
602,18,50,8,practice,,08:29:13,10,22,10,t,2
613,27,50,8,practice,,08:30:15,10,21,10,t,2
310,20,40,9,practice,,08:00:14,10,20,10,t,2
295,39,47,9,practice,,07:59:03,10,20,10,t,2
319,44,38,9,practice,,08:01:31,10,20,10,t,2
465,53,41,8,practice,,08:16:04,10,20,10,t,2
567,51,42,9,practice,,08:26:47,10,20,10,t,2
566,55,46,8,practice,,08:26:46,10,19,10,t,2
546,25,37,9,practice,,08:25:22,10,18,10,t,2
561,44,50,8,practice,,08:26:25,10,18,10,t,2
576,82,50,8,practice,,08:27:13,10,18,10,t,2
267,52,40,9,practice,,07:55:27,10,17,10,t,2
270,82,47,9,practice,,07:55:27,10,17,10,t,2
309,138,37,9,practice,,08:00:07,10,15,10,t,2
585,36,42,9,practice,,08:28:04,10,16,10,t,2
324,26,40,9,practice,,08:02:13,10,15,10,t,2
298,121,38,9,practice,,07:59:28,10,13,10,t,2
322,116,45,9,practice,,08:01:46,10,12,10,t,2
370,113,46,8,practice,,08:05:48,10,12,10,t,2
266,134,48,9,practice,,07:55:27,10,11,10,t,2
273,140,45,9,practice,,07:55:28,10,11,10,t,2
320,59,43,9,practice,,08:01:36,10,11,10,t,2
338,109,37,8,practice,,08:03:04,10,11,10,t,2
361,80,37,8,practice,,08:04:58,10,11,10,t,2
396,84,45,8,practice,,08:08:20,10,11,10,t,2
268,172,36,9,practice,,07:55:27,10,10,10,t,2
276,41,40,9,practice,,07:56:36,10,10,10,t,2
291,70,40,9,practice,,07:58:17,10,10,10,t,2
301,126,45,9,practice,,07:59:34,10,10,10,t,2
317,55,46,9,practice,,08:01:21,10,10,10,t,2
342,87,47,8,practice,,08:03:21,10,10,10,t,2
381,90,45,8,practice,,08:06:49,10,10,10,t,2
555,31,37,9,practice,,08:25:59,10,10,10,t,2
315,105,41,9,practice,,08:01:05,10,9,10,t,2
341,53,40,8,practice,,08:03:18,10,9,10,t,2
347,81,42,8,practice,,08:03:38,10,9,10,t,2
383,143,47,8,practice,,08:07:09,10,9,10,t,2
296,107,48,9,practice,,07:59:26,10,8,10,t,2
316,80,48,9,practice,,08:01:18,10,8,10,t,2
318,48,40,9,practice,,08:01:23,10,8,10,t,2
562,35,37,9,practice,,08:26:31,10,8,10,t,2
603,86,37,9,practice,,08:29:16,10,8,10,t,2
269,92,50,9,practice,,07:55:27,10,7,10,t,2
278,126,47,9,practice,,07:56:50,10,7,10,t,2
312,126,43,9,practice,,08:00:20,10,7,10,t,2
365,82,45,8,practice,,08:05:25,10,7,10,t,2
367,166,50,8,practice,,08:05:33,10,7,10,t,2
393,163,48,8,practice,,08:08:14,10,7,10,t,2
605,38,40,9,practice,,08:29:23,10,7,10,t,2
283,92,38,9,practice,,07:57:20,10,6,10,t,2
299,43,40,9,practice,,07:59:28,10,6,10,t,2
350,115,48,9,practice,,08:03:59,10,6,10,t,2
358,121,38,8,practice,,08:04:44,10,6,10,t,2
368,112,41,8,practice,,08:05:36,10,6,10,t,2
284,54,40,9,practice,,07:57:20,10,5,10,t,2
288,98,41,9,practice,,07:57:56,10,5,10,t,2
290,117,37,9,practice,,07:58:03,10,5,10,t,2
306,101,42,9,practice,,07:59:53,10,5,10,t,2
307,158,36,9,practice,,08:00:04,10,5,10,t,2
321,105,42,9,practice,,08:01:41,10,5,10,t,2
334,70,48,9,practice,,08:02:46,10,5,10,t,2
352,77,41,8,practice,,08:04:07,10,5,10,t,2
362,63,42,8,practice,,08:05:05,10,5,10,t,2
263,143,41,9,practice,,07:55:26,10,4,10,t,2
271,70,30,9,practice,,07:55:27,10,4,10,t,2
281,99,46,9,practice,,07:57:18,10,4,10,t,2
282,141,50,9,practice,,07:57:18,10,4,10,t,2
286,94,48,9,practice,,07:57:48,10,4,10,t,2
293,80,49,9,practice,,07:58:25,10,4,10,t,2
303,132,50,9,practice,,07:59:40,10,4,10,t,2
344,122,50,8,practice,,08:03:28,10,4,10,t,2
346,129,46,8,practice,,08:03:37,10,4,10,t,2
