session_id,time_taken,student_id,topic_id,game_mode,opponent_id,created_at,correct_answers,wrong_answers,total_questions,winner,points
347,81,42,8,practice,,2025-06-04 08:03:38.288201,10,9,10,t,2
301,126,45,9,practice,,2025-06-04 07:59:33.730188,10,10,10,t,2
602,18,50,8,practice,,2025-06-04 08:29:13.251362,10,23,10,t,2
380,104,38,8,practice,,2025-06-04 08:06:47.293882,10,4,10,t,2
307,158,36,9,practice,,2025-06-04 08:00:03.527273,10,5,10,t,2
358,121,38,8,practice,,2025-06-04 08:04:44.467029,10,6,10,t,2
370,113,46,8,practice,,2025-06-04 08:05:48.131437,10,12,10,t,2
324,26,40,9,practice,,2025-06-04 08:02:12.993781,10,15,10,t,2
351,82,45,8,practice,,2025-06-04 08:03:59.700231,10,3,10,t,2
271,70,30,9,practice,,2025-06-04 07:55:27.498308,10,4,10,t,2
362,63,42,8,practice,,2025-06-04 08:05:05.102751,10,5,10,t,2
263,143,41,9,practice,,2025-06-04 07:55:26.336676,10,4,10,t,2
390,111,46,8,practice,,2025-06-04 08:07:48.306604,10,1,10,t,2
265,80,46,9,practice,,2025-06-04 07:55:26.506684,10,1,10,t,2
274,79,43,9,practice,,2025-06-04 07:55:29.613737,10,2,10,t,2
319,44,38,9,practice,,2025-06-04 08:01:30.564635,10,20,10,t,2
377,228,39,8,practice,,2025-06-04 08:06:28.537058,10,0,10,t,3
386,74,36,8,practice,,2025-06-04 08:07:23.804679,10,3,10,t,2
272,72,49,9,practice,,2025-06-04 07:55:27.62897,10,3,10,t,2
566,55,46,8,practice,,2025-06-04 08:26:46.386597,10,19,10,t,2
596,90,42,9,practice,,2025-06-04 08:28:54.060936,10,0,10,t,3
313,42,40,9,practice,,2025-06-04 08:00:38.028064,10,2,10,t,2
373,127,48,9,practice,,2025-06-04 08:05:54.638074,10,1,10,t,2
317,55,46,9,practice,,2025-06-04 08:01:21.483934,10,10,10,t,2
268,172,36,9,practice,,2025-06-04 07:55:26.782151,10,10,10,t,2
276,41,40,9,practice,,2025-06-04 07:56:36.459851,10,10,10,t,2
262,102,38,9,practice,,2025-06-04 07:55:26.005493,10,0,10,t,3
560,60,49,8,practice,,2025-06-04 08:26:17.673085,10,0,10,t,3
305,76,47,9,practice,,2025-06-04 07:59:49.610755,10,0,10,t,3
309,138,37,9,practice,,2025-06-04 08:00:07.090786,10,16,10,t,2
472,64,41,8,practice,,2025-06-04 08:16:59.496116,10,0,10,t,3
412,150,49,8,practice,,2025-06-04 08:09:49.848074,10,0,10,t,3
350,115,48,9,practice,,2025-06-04 08:03:59.437368,10,6,10,t,2
339,83,36,8,practice,,2025-06-04 08:03:05.859159,10,3,10,t,2
393,163,48,8,practice,,2025-06-04 08:08:13.700939,10,7,10,t,2
291,70,40,9,practice,,2025-06-04 07:58:16.761239,10,10,10,t,2
585,36,42,9,practice,,2025-06-04 08:28:04.409574,10,16,10,t,2
379,42,40,8,practice,,2025-06-04 08:06:33.261098,10,0,10,t,3
383,143,47,8,practice,,2025-06-04 08:07:09.496879,10,9,10,t,2
511,218,39,9,practice,,2025-06-04 08:21:19.019945,10,1,10,t,2
376,143,49,8,practice,,2025-06-04 08:06:21.236583,10,1,10,t,2
343,98,43,8,practice,,2025-06-04 08:03:26.532083,10,0,10,t,3
344,122,50,8,practice,,2025-06-04 08:03:28.201058,10,4,10,t,2
326,73,38,9,practice,,2025-06-04 08:02:26.880264,10,0,10,t,3
322,116,45,9,practice,,2025-06-04 08:01:46.429238,10,12,10,t,2
365,82,45,8,practice,,2025-06-04 08:05:24.892449,10,7,10,t,2
371,144,43,8,practice,,2025-06-04 08:05:48.25975,10,3,10,t,2
576,82,50,8,practice,,2025-06-04 08:27:13.493751,10,20,10,t,2
562,35,37,9,practice,,2025-06-04 08:26:31.308552,10,8,10,t,2
292,94,36,9,practice,,2025-06-04 07:58:23.721099,10,2,10,t,2
329,64,46,9,practice,,2025-06-04 08:02:31.331787,10,25,10,t,2
368,112,41,8,practice,,2025-06-04 08:05:35.98384,10,6,10,t,2
298,121,38,9,practice,,2025-06-04 07:59:28.04887,10,13,10,t,2
574,45,37,9,practice,,2025-06-04 08:27:10.049291,10,3,10,t,2
284,54,40,9,practice,,2025-06-04 07:57:19.650896,10,5,10,t,2
321,105,42,9,practice,,2025-06-04 08:01:41.172354,10,5,10,t,2
270,82,47,9,practice,,2025-06-04 07:55:26.987353,10,17,10,t,2
375,63,42,8,practice,,2025-06-04 08:06:19.58581,10,3,10,t,2
381,90,45,8,practice,,2025-06-04 08:06:48.601002,10,10,10,t,2
280,102,43,9,practice,,2025-06-04 07:57:17.440382,10,3,10,t,2
267,52,40,9,practice,,2025-06-04 07:55:26.642574,10,17,10,t,2
464,291,39,9,practice,,2025-06-04 08:15:58.073796,10,1,10,t,2
