"detail_id","session_id","question_id","selected_answer","is_correct","response_time","created_at"
"1","1","1","2","false","1","2025-05-04 12:35:39.742434"
"2","1","1","4","false","3","2025-05-04 12:35:40.90693"
"3","1","1","3","false","3","2025-05-04 12:35:41.559779"
"4","1","1","1","true","4","2025-05-04 12:35:42.19621"
"5","6","1","2","false","1","2025-05-04 12:38:56.673799"
"6","6","1","4","false","2","2025-05-04 12:38:57.294062"
"7","6","1","3","false","3","2025-05-04 12:38:58.198962"
"8","6","1","1","true","4","2025-05-04 12:38:58.917073"
"9","7","1","2","true","2","2025-05-04 12:49:54.370624"
"10","8","1","2","true","0","2025-05-04 12:52:42.848862"
"11","9","1","1","false","1","2025-05-04 12:53:38.119638"
"12","9","1","2","true","2","2025-05-04 12:53:39.037685"
"13","11","1","2","true","1","2025-05-04 17:47:08.601799"
"14","14","1","2","true","0","2025-05-05 15:47:02.251334"
"15","24","3","1","true","2","2025-05-05 18:39:07.468592"
"16","24","4","2","true","11","2025-05-05 18:39:16.567427"
"17","24","5","1","true","14","2025-05-05 18:39:18.987182"
"18","24","6","2","true","18","2025-05-05 18:39:23.164634"
"19","24","7","2","false","21","2025-05-05 18:39:26.916359"
"20","24","7","1","true","24","2025-05-05 18:39:29.273537"
"21","24","8","1","true","26","2025-05-05 18:39:31.82505"
"22","24","9","1","false","29","2025-05-05 18:39:34.64371"
"23","24","9","3","true","30","2025-05-05 18:39:35.191482"
"24","24","10","1","true","33","2025-05-05 18:39:38.203794"
"25","24","11","2","true","36","2025-05-05 18:39:41.961049"
"26","24","2","2","true","39","2025-05-05 18:39:44.110872"
"27","25","3","1","true","5","2025-05-05 18:39:54.721811"
"28","25","4","2","true","11","2025-05-05 18:39:59.223335"
"29","25","5","1","true","13","2025-05-05 18:40:01.961609"
"30","25","6","2","true","16","2025-05-05 18:40:04.787976"
"31","25","8","1","true","18","2025-05-05 18:40:06.848506"
"32","25","10","1","true","21","2025-05-05 18:40:09.248779"
"33","25","11","2","true","23","2025-05-05 18:40:11.888455"
"34","25","12","4","true","26","2025-05-05 18:40:15.035417"
"35","25","13","1","true","30","2025-05-05 18:40:18.161568"
"36","25","2","2","true","32","2025-05-05 18:40:20.19233"
"37","27","1","1","false","2","2025-05-05 18:41:40.925062"
"38","27","1","2","true","2","2025-05-05 18:41:41.390597"
"39","28","3","2","false","1","2025-05-06 15:41:55.843258"
"40","28","3","1","true","2","2025-05-06 15:41:56.722965"
"41","28","4","3","false","3","2025-05-06 15:41:58.083033"
"42","28","4","4","false","4","2025-05-06 15:41:58.827307"
"43","28","4","2","true","4","2025-05-06 15:41:59.377906"
"44","28","5","2","false","6","2025-05-06 15:42:00.786234"
"45","28","5","3","false","7","2025-05-06 15:42:01.775803"
"46","28","5","4","false","8","2025-05-06 15:42:02.733212"
"47","28","5","2","false","9","2025-05-06 15:42:03.634463"
"48","28","5","1","true","9","2025-05-06 15:42:04.148134"
"49","28","6","2","true","11","2025-05-06 15:42:06.358192"
"50","28","8","1","true","14","2025-05-06 15:42:09.04134"
"51","28","10","2","false","17","2025-05-06 15:42:11.69709"
"52","28","10","1","true","18","2025-05-06 15:42:12.866713"
"53","28","11","2","true","21","2025-05-06 15:42:15.608637"
"54","28","12","2","false","23","2025-05-06 15:42:18.296759"
"55","28","12","3","false","24","2025-05-06 15:42:19.027983"
"56","28","12","1","false","25","2025-05-06 15:42:19.585246"
"57","28","12","4","true","25","2025-05-06 15:42:20.263364"
"58","28","13","2","false","27","2025-05-06 15:42:22.049581"
"59","28","13","4","false","28","2025-05-06 15:42:22.877898"
"60","28","13","3","false","29","2025-05-06 15:42:23.610032"
"61","28","13","1","true","29","2025-05-06 15:42:24.46362"
"62","28","2","2","true","32","2025-05-06 15:42:26.55284"
"63","29","10","1","true","2","2025-05-07 11:48:45.117285"
"64","29","2","2","true","4","2025-05-07 11:48:47.516421"
"65","29","15","1","false","7","2025-05-07 11:48:50.575498"
"66","29","15","3","true","9","2025-05-07 11:48:52.141271"
"67","29","8","1","true","12","2025-05-07 11:48:54.959231"
"68","29","11","1","false","15","2025-05-07 11:48:58.238052"
"69","29","11","4","false","17","2025-05-07 11:49:00.60928"
"70","29","11","2","true","18","2025-05-07 11:49:00.992379"
"71","29","14","4","true","20","2025-05-07 11:49:03.685591"
"72","29","6","2","true","22","2025-05-07 11:49:05.836093"
"73","29","16","2","false","26","2025-05-07 11:49:09.684975"
"74","29","16","4","false","27","2025-05-07 11:49:10.335697"
"75","29","16","3","false","28","2025-05-07 11:49:10.967289"
"76","29","16","1","true","28","2025-05-07 11:49:11.544542"
"77","29","17","2","true","31","2025-05-07 11:49:14.348767"
"78","29","18","1","true","34","2025-05-07 11:49:17.344696"
"79","30","32","2","false","1","2025-05-07 12:05:11.40379"
"80","30","32","3","true","2","2025-05-07 12:05:12.784792"
"81","30","33","3","true","5","2025-05-07 12:05:15.367872"
"82","30","34","3","true","7","2025-05-07 12:05:17.972019"
"83","30","35","3","true","9","2025-05-07 12:05:20.232211"
"84","30","36","2","true","12","2025-05-07 12:05:23.326155"
"85","30","37","2","false","16","2025-05-07 12:05:26.848779"
"86","30","37","1","true","17","2025-05-07 12:05:28.221563"
"87","30","38","4","false","45","2025-05-07 12:05:55.420227"
"88","30","38","3","false","46","2025-05-07 12:05:56.26049"
"89","30","38","1","false","46","2025-05-07 12:05:57.079616"
"90","30","38","2","true","47","2025-05-07 12:05:57.676849"
"91","30","39","2","false","112","2025-05-07 12:07:02.407555"
"92","30","39","1","true","112","2025-05-07 12:07:02.887226"
"93","30","40","3","true","115","2025-05-07 12:07:05.486175"
"94","30","27","2","true","119","2025-05-07 12:07:10.023554"
"95","34","37","1","true","4","2025-05-07 12:12:47.933583"
"96","34","32","3","true","7","2025-05-07 12:12:50.912079"
"97","34","39","1","true","10","2025-05-07 12:12:55.762484"
"98","34","38","2","true","13","2025-05-07 12:12:56.609892"
"99","34","42","2","false","16","2025-05-07 12:12:59.445271"
"100","34","42","3","true","16","2025-05-07 12:13:00.183251"
"101","34","31","4","false","19","2025-05-07 12:13:03.222059"
"102","34","31","2","true","20","2025-05-07 12:13:04.196288"
"103","34","43","1","true","23","2025-05-07 12:13:06.862112"
"104","34","44","2","false","28","2025-05-07 12:13:11.796787"
"105","34","44","4","true","29","2025-05-07 12:13:12.807151"
"106","34","41","3","true","33","2025-05-07 12:13:16.691112"
"107","34","28","3","true","36","2025-05-07 12:13:20.329949"
"108","50","50","1","false","3","2025-05-09 13:13:44.203305"
"109","50","50","2","false","4","2025-05-09 13:13:44.851771"
"110","50","50","3","true","5","2025-05-09 13:13:45.462531"
"111","50","51","1","true","7","2025-05-09 13:13:47.467899"
"112","50","52","1","true","10","2025-05-09 13:13:51.062907"
"113","50","45","2","true","12","2025-05-09 13:13:52.470068"
"114","64","45","2","true","14","2025-05-09 16:53:25.683302"
"115","64","52","1","true","19","2025-05-09 16:53:30.872029"
"116","64","51","1","true","22","2025-05-09 16:53:33.759686"
"117","64","49","1","true","30","2025-05-09 16:53:41.119983"
"118","64","53","1","true","33","2025-05-09 16:53:44.588717"
"119","64","54","1","true","36","2025-05-09 16:53:48.275994"
"120","64","59","1","true","39","2025-05-09 16:53:49.929921"
"121","64","47","1","true","41","2025-05-09 16:53:52.390204"
"122","64","48","1","true","44","2025-05-09 16:53:56.688944"
"123","64","46","1","true","47","2025-05-09 16:53:58.293471"
"124","65","60","3","true","6","2025-05-09 16:59:24.341127"
"125","65","61","4","true","11","2025-05-09 16:59:28.748382"
"126","65","62","4","true","20","2025-05-09 16:59:38.103272"
"127","65","63","1","true","24","2025-05-09 16:59:42.480758"
"128","65","64","2","false","39","2025-05-09 16:59:57.309555"
"129","65","64","4","true","41","2025-05-09 16:59:58.712431"
"130","67","30","1","true","3","2025-05-09 18:21:59.159909"
"131","67","29","1","false","7","2025-05-09 18:22:03.088411"
"132","67","29","2","false","8","2025-05-09 18:22:04.021567"
"133","67","29","2","false","9","2025-05-09 18:22:05.514173"
"134","67","29","4","true","10","2025-05-09 18:22:05.690032"
"135","67","37","1","true","15","2025-05-09 18:22:11.09837"
"136","69","39","2","false","2","2025-05-09 18:43:40.385082"
"137","69","39","1","true","3","2025-05-09 18:43:40.787973"
"138","69","32","1","false","4","2025-05-09 18:43:41.903104"
"139","69","32","2","false","4","2025-05-09 18:43:42.451768"
"140","69","32","4","false","5","2025-05-09 18:43:42.993442"
"141","69","32","3","true","5","2025-05-09 18:43:43.44018"
"142","73","22","4","true","3","2025-05-11 17:54:15.031748"
"143","73","26","4","false","8","2025-05-11 17:54:20.287451"
"144","73","26","3","true","10","2025-05-11 17:54:22.132291"
"145","73","23","1","true","14","2025-05-11 17:54:26.597708"
"146","73","25","3","true","18","2025-05-11 17:54:29.82642"
"147","73","24","2","true","25","2025-05-11 17:54:36.655591"
"148","73","19","2","true","31","2025-05-11 17:54:42.701482"
"149","73","20","1","true","34","2025-05-11 17:54:46.439721"
"150","73","20","1","true","35","2025-05-11 17:54:46.823739"
"151","73","21","1","true","39","2025-05-11 17:54:50.871301"
"152","73","7","3","false","45","2025-05-11 17:54:57.484548"
"153","73","7","1","true","46","2025-05-11 17:54:58.342689"
"154","73","9","3","true","53","2025-05-11 17:55:05.007652"
"155","74","5","1","true","4","2025-05-11 17:55:13.649718"
"156","74","5","1","true","4","2025-05-11 17:55:13.852339"
"157","74","5","1","true","4","2025-05-11 17:55:14.0775"
"158","74","5","1","true","5","2025-05-11 17:55:14.341508"
"159","74","12","1","false","5","2025-05-11 17:55:14.82263"
"160","74","12","1","false","12","2025-05-11 17:55:22.063545"
"161","74","12","4","true","15","2025-05-11 17:55:24.080671"
"162","74","16","1","true","20","2025-05-11 17:55:29.477759"
"163","74","4","2","true","25","2025-05-11 17:55:34.712233"
"164","74","13","1","true","28","2025-05-11 17:55:37.585555"
"165","74","7","1","true","35","2025-05-11 17:55:45.052047"
"166","74","11","1","false","45","2025-05-11 17:55:54.633262"
"167","74","11","2","true","47","2025-05-11 17:55:56.680912"
"168","74","26","3","true","55","2025-05-11 17:56:04.995754"
"169","74","15","3","true","59","2025-05-11 17:56:08.453563"
"170","74","3","1","true","64","2025-05-11 17:56:13.431642"
"171","90","39","1","true","1","2025-05-12 21:34:14.046092"
"172","90","31","2","true","3","2025-05-12 21:34:15.379045"
"173","90","44","3","false","4","2025-05-12 21:34:16.858402"
"174","90","44","1","false","5","2025-05-12 21:34:17.298611"
"175","90","44","2","false","5","2025-05-12 21:34:18.093356"
"176","90","44","4","true","6","2025-05-12 21:34:18.802302"
"177","131","107","1","true","17","2025-05-13 15:45:46.664946"
"178","131","86","3","true","22","2025-05-13 15:45:51.050006"
"179","131","78","3","true","26","2025-05-13 15:45:55.182092"
"180","131","70","3","true","35","2025-05-13 15:46:04.123978"
"182","131","84","3","true","42","2025-05-13 15:46:11.799762"
"183","131","85","2","true","46","2025-05-13 15:46:15.166555"
"184","139","79","3","true","14","2025-05-13 17:30:49.423444"
"185","139","76","3","true","20","2025-05-13 17:30:54.774282"
"186","139","71","1","true","23","2025-05-13 17:30:57.656935"
"187","139","88","3","true","29","2025-05-13 17:31:03.533467"
"188","139","91","3","true","38","2025-05-13 17:31:12.978753"
"189","139","74","3","true","48","2025-05-13 17:31:22.803282"
"190","139","92","4","true","54","2025-05-13 17:31:28.980258"
"191","139","82","3","true","66","2025-05-13 17:31:40.806328"
"192","140","99","4","true","25","2025-05-13 17:32:10.369286"
"193","140","89","2","true","30","2025-05-13 17:32:14.715814"
"194","140","77","3","true","35","2025-05-13 17:32:19.668683"
"195","140","75","2","true","38","2025-05-13 17:32:22.718307"
"196","147","152","3","false","18","2025-05-14 16:45:40.168505"
"197","147","152","2","true","43","2025-05-14 16:46:04.273568"
"198","147","150","1","false","45","2025-05-14 16:46:06.412824"
"199","147","150","2","false","46","2025-05-14 16:46:07.896997"
"200","147","150","3","false","47","2025-05-14 16:46:08.609738"
"201","147","150","4","true","48","2025-05-14 16:46:09.478356"
"202","147","151","1","true","54","2025-05-14 16:46:15.51819"
"203","147","145","2","true","58","2025-05-14 16:46:19.225316"
"204","147","191","2","true","60","2025-05-14 16:46:21.444381"
"205","147","155","1","false","65","2025-05-14 16:46:26.097815"
"206","147","155","4","false","66","2025-05-14 16:46:27.179356"
"207","147","155","2","false","66","2025-05-14 16:46:27.600293"
"208","147","155","3","true","67","2025-05-14 16:46:28.196896"
"209","147","148","2","true","76","2025-05-14 16:46:37.482356"
"210","147","144","1","true","90","2025-05-14 16:46:51.78006"
"211","147","187","2","true","94","2025-05-14 16:46:55.867586"
"212","158","232","1","true","13","2025-05-28 14:07:47.162548"
"213","158","230","2","true","17","2025-05-28 14:07:50.562298"
"214","158","240","1","true","21","2025-05-28 14:07:55.369632"
"215","158","249","3","true","24","2025-05-28 14:07:57.583993"
"216","158","243","3","true","28","2025-05-28 14:08:01.931115"
"217","158","239","2","true","32","2025-05-28 14:08:04.903823"
"218","158","242","2","true","34","2025-05-28 14:08:07.548235"
"219","158","241","2","true","37","2025-05-28 14:08:10.606317"
"220","159","233","3","true","24","2025-05-28 14:08:37.85013"
"221","159","250","3","true","27","2025-05-28 14:08:40.453962"
"222","159","246","4","true","32","2025-05-28 14:08:44.963278"
"223","159","244","3","true","35","2025-05-28 14:08:48.031907"
"224","159","247","2","true","39","2025-05-28 14:08:51.939835"
"225","160","252","4","true","45","2025-05-28 14:09:40.29249"
"226","167","370","1","true","17","2025-05-28 15:20:56.482229"
"227","167","358","3","true","20","2025-05-28 15:20:59.394137"
"228","167","369","1","true","23","2025-05-28 15:21:02.38769"
"229","167","361","1","true","25","2025-05-28 15:21:04.629771"
"230","167","376","3","true","28","2025-05-28 15:21:07.279436"
"231","168","311","2","false","20","2025-05-28 20:19:19.259349"
"232","168","311","3","true","21","2025-05-28 20:19:19.869688"
"233","168","260","2","true","50","2025-05-28 20:19:49.041055"
"234","168","248","2","true","56","2025-05-28 20:19:54.728043"
"235","168","237","1","true","60","2025-05-28 20:19:59.260512"
"236","168","257","3","true","64","2025-05-28 20:20:03.291285"
"237","168","259","1","true","68","2025-05-28 20:20:07.218124"
"238","168","235","4","true","72","2025-05-28 20:20:11.492124"
"239","169","231","3","true","34","2025-05-28 20:20:48.672672"
"240","169","255","3","true","37","2025-05-28 20:20:51.547699"
"241","169","264","4","true","42","2025-05-28 20:20:56.202057"
"242","169","265","3","true","46","2025-05-28 20:21:00.312011"
"243","181","372","3","false","16","2025-05-28 20:32:48.696302"
"244","181","372","1","true","16","2025-05-28 20:32:48.784005"
"245","181","378","2","true","20","2025-05-28 20:32:52.10616"
"246","181","381","2","true","22","2025-05-28 20:32:54.430547"
"247","181","367","2","true","24","2025-05-28 20:32:56.517052"
"248","181","357","2","true","27","2025-05-28 20:32:58.906141"
"249","184","375","2","true","21","2025-05-29 08:15:57.511006"
"250","184","379","2","true","25","2025-05-29 08:16:01.723042"
"251","184","382","2","true","28","2025-05-29 08:16:04.636712"
"252","184","373","1","true","40","2025-05-29 08:16:16.322619"
"253","184","363","2","true","44","2025-05-29 08:16:19.992016"
"254","184","377","2","true","47","2025-05-29 08:16:23.634865"
"255","184","383","2","true","50","2025-05-29 08:16:26.004577"
"256","201","384","3","true","17","2025-05-29 11:49:39.180455"
"257","201","371","2","true","62","2025-05-29 11:50:23.796827"
