detail_id,session_id,question_id,selected_answer,is_correct,response_time,created_at
458,260,278,4,False,16,2025-06-04 07:43:32.130322
459,260,278,2,True,16,2025-06-04 07:43:32.459816
456,260,279,1,False,10,2025-06-04 07:43:25.797713
457,260,279,2,True,10,2025-06-04 07:43:26.316724
454,260,295,2,False,7,2025-06-04 07:43:23.118856
455,260,295,1,True,8,2025-06-04 07:43:23.991621
449,260,297,4,False,2,2025-06-04 07:43:17.937780
450,260,297,1,False,2,2025-06-04 07:43:18.580037
451,260,297,3,False,3,2025-06-04 07:43:19.366480
453,260,297,2,True,6,2025-06-04 07:43:21.696091
448,260,298,2,True,1,2025-06-04 07:43:16.738387
516,261,422,3,True,38,2025-06-04 07:56:04.550446
653,261,426,3,True,85,2025-06-04 07:56:51.599012
660,261,428,2,True,89,2025-06-04 07:56:55.297505
761,261,440,2,True,131,2025-06-04 07:57:37.904821
587,261,442,2,True,58,2025-06-04 07:56:24.812628
723,261,448,4,False,116,2025-06-04 07:57:22.420736
742,261,448,2,True,124,2025-06-04 07:57:30.654689
498,261,450,4,True,29,2025-06-04 07:55:55.606332
544,261,451,3,True,45,2025-06-04 07:56:11.636959
596,261,452,2,False,65,2025-06-04 07:56:31.908051
635,261,452,3,True,79,2025-06-04 07:56:45.779181
569,261,453,3,True,53,2025-06-04 07:56:18.935045
501,262,424,3,True,31,2025-06-04 07:55:57.006189
480,262,426,3,True,22,2025-06-04 07:55:48.219500
638,262,427,3,True,80,2025-06-04 07:56:46.769198
549,262,433,1,True,47,2025-06-04 07:56:13.617281
597,262,440,2,True,66,2025-06-04 07:56:32.208669
621,262,442,2,True,74,2025-06-04 07:56:40.331112
589,262,443,4,True,61,2025-06-04 07:56:26.950073
515,262,445,3,True,38,2025-06-04 07:56:04.470817
691,262,450,4,True,101,2025-06-04 07:57:07.878581
572,262,453,3,True,54,2025-06-04 07:56:20.678199
694,263,426,3,True,101,2025-06-04 07:57:08.053388
775,263,427,1,False,140,2025-06-04 07:57:46.746155
778,263,427,4,False,141,2025-06-04 07:57:47.788430
783,263,427,2,False,142,2025-06-04 07:57:48.509912
786,263,427,3,True,142,2025-06-04 07:57:49.161707
658,263,431,1,True,88,2025-06-04 07:56:54.552903
731,263,440,2,True,119,2025-06-04 07:57:25.349396
715,263,445,3,True,111,2025-06-04 07:57:17.404386
543,263,447,3,True,44,2025-06-04 07:56:10.961671
497,263,448,2,True,28,2025-06-04 07:55:55.200360
478,263,449,4,True,19,2025-06-04 07:55:45.972761
678,263,451,3,True,95,2025-06-04 07:57:01.520437
570,263,452,4,False,52,2025-06-04 07:56:19.107137
641,263,452,3,True,81,2025-06-04 07:56:47.522306
703,264,426,3,True,104,2025-06-04 07:57:10.672973
713,264,427,3,True,110,2025-06-04 07:57:17.055510
743,264,431,4,False,124,2025-06-04 07:57:31.002096
747,264,431,1,True,126,2025-06-04 07:57:32.788172
729,264,443,3,False,118,2025-06-04 07:57:24.955781
737,264,443,4,True,120,2025-06-04 07:57:26.482401
774,264,446,2,True,139,2025-06-04 07:57:46.181391
579,264,447,3,True,55,2025-06-04 07:56:22.404495
618,264,449,4,True,72,2025-06-04 07:56:39.194208
476,264,451,3,True,19,2025-06-04 07:55:45.776507
